quote_id,quote_date,account_id,sales_rep_id,product_id,quantity,status,list_price,unit_price,margin
100,2024-04-30,460,2,4,121,lost,200.0,119.0,59.49928612558232
101,2024-04-11,8243,6,10,35,lost,220.0,86.67,39.39450619709709
102,2024-07-13,8255,9,6,183,won,500.0,280.15,56.03074944689756
103,2024-10-13,3517,6,7,868,lost,100.0,54.98,54.97650222179055
104,2024-06-29,7692,4,8,102,won,75.0,26.05,34.727947027764856
105,2024-06-03,5819,2,6,419,lost,500.0,276.36,55.27163862258173
106,2024-02-05,8560,7,8,153,lost,75.0,26.61,35.48556536203907
107,2024-08-10,7202,4,8,106,lost,75.0,21.63,28.835826312868743
108,2024-09-06,1635,9,8,205,won,75.0,22.92,30.555346948588443
109,2024-11-13,8856,4,4,414,lost,200.0,146.56,73.2802757722644
110,2024-07-14,8735,5,3,161,won,150.0,48.88,32.58514383478861
111,2024-11-27,2375,10,9,152,lost,120.0,68.99,57.48936560500966
112,2024-01-08,1819,3,7,534,lost,100.0,50.85,50.84963728971504
113,2024-12-09,3536,1,5,286,won,50.0,20.97,41.932704222121515
114,2024-04-08,3121,10,5,81,lost,50.0,33.04,66.07514675789578
115,2024-07-07,7542,1,7,22,lost,100.0,62.19,62.18679616820652
116,2024-09-16,5549,3,10,584,lost,220.0,28.74,13.064144772712888
117,2024-05-06,2679,5,6,121,lost,500.0,343.05,68.60910777640011
118,2024-01-26,5477,9,8,27,lost,75.0,46.39,61.85486381354884
119,2024-05-28,5160,1,6,110,lost,500.0,230.09,46.018040605001275
120,2024-05-13,2500,4,2,2,lost,300.0,243.04,81.01460647073121
121,2024-03-19,6717,2,4,89,lost,200.0,155.95,77.97592034766326
123,2024-12-26,2000,10,1,423,lost,250.0,89.84,35.937729806058684
124,2024-06-11,5480,3,1,718,lost,250.0,53.48,21.393528990377106
125,2024-04-16,3992,9,5,86,lost,50.0,28.78,57.55039030176145
126,2024-02-14,6934,7,2,169,lost,300.0,202.01,67.33520742841513
127,2024-09-18,6618,7,1,84,won,250.0,90.24,36.095475645060226
128,2024-05-21,7147,9,3,71,lost,150.0,89.68,59.78705716287411
129,2024-12-29,7140,3,8,11,lost,75.0,26.98,35.96737568201416
130,2024-01-09,8471,5,6,423,lost,500.0,265.09,53.018349106305116
131,2024-10-29,4070,9,6,42,won,500.0,358.69,71.73712310176188
132,2024-06-16,3628,8,6,293,lost,500.0,237.03,47.40556961734623
133,2024-08-29,1924,7,5,1,lost,50.0,33.0,65.99314407225589
134,2024-04-02,1648,9,5,11,lost,50.0,37.2,74.39099643250614
135,2024-07-12,2611,2,2,23,lost,300.0,230.28,76.75890509214882
136,2024-03-18,7868,10,5,43,lost,50.0,32.01,64.02932370782348
137,2024-01-17,4724,1,3,206,lost,150.0,58.03,38.68831183538927
138,2024-04-10,3484,2,6,312,lost,500.0,164.09,32.81811837571445
139,2024-03-05,8779,2,3,217,lost,150.0,68.98,45.98550720995361
140,2024-12-04,3690,2,10,4,lost,220.0,132.99,60.45206297621448
141,2024-11-16,5592,6,6,107,lost,500.0,292.58,58.51541824938458
142,2024-02-26,4542,9,1,69,lost,250.0,80.19,32.07569464379607
143,2024-12-17,4982,3,4,1,lost,200.0,184.77,92.38452484749133
144,2024-02-21,3292,5,5,438,lost,50.0,25.68,51.36210007858067
145,2024-10-22,8229,2,3,228,lost,150.0,82.07,54.7143545866641
146,2024-11-16,4801,8,7,286,lost,100.0,52.31,52.30602313241455
147,2024-06-25,9608,6,2,59,won,300.0,241.34,80.44803127262338
148,2024-08-19,5305,8,7,115,lost,100.0,60.69,60.68886231583884
149,2024-04-13,8497,8,3,263,lost,150.0,81.58,54.388089034660396
150,2024-07-03,8958,5,7,178,lost,100.0,68.72,68.72256439979068
151,2024-01-12,6263,5,7,212,lost,100.0,62.06,62.064677691817074
152,2024-02-06,7197,6,5,20,lost,50.0,39.3,78.59432324193926
153,2024-05-25,4920,8,5,80,lost,50.0,27.33,54.66104158936841
154,2024-08-01,9340,4,3,235,lost,150.0,83.98,55.98857282513177
155,2024-10-14,7722,4,5,39,lost,50.0,31.63,63.26353514382262
156,2024-04-09,2692,10,7,66,lost,100.0,85.69,85.68571176121564
157,2024-05-31,5826,1,9,235,lost,120.0,44.89,37.4056294733374
158,2024-07-14,5402,3,4,339,lost,200.0,166.83,83.41698976475243
159,2024-03-20,5952,2,6,84,lost,500.0,310.41,62.081188645682275
160,2024-10-02,8767,9,2,21,lost,300.0,246.03,82.00944069209051
161,2024-09-11,6193,6,4,41,lost,200.0,153.31,76.65636604964766
162,2024-06-26,8281,5,5,15,lost,50.0,24.59,49.18914355862583
163,2024-10-10,6389,9,5,4,lost,50.0,34.71,69.41902374396591
164,2024-10-10,9081,3,8,393,won,75.0,24.94,33.24993717329653
165,2024-05-07,6841,6,7,245,lost,100.0,53.66,53.65661489862529
166,2024-05-29,5713,8,8,131,lost,75.0,29.63,39.505454453569016
167,2024-07-06,9717,1,4,186,lost,200.0,182.66,91.33232383202345
168,2024-12-15,5122,10,2,78,lost,300.0,192.74,64.24731585778741
169,2024-11-27,2468,10,3,267,lost,150.0,45.71,30.475083484186406
170,2024-10-01,6245,5,7,445,lost,100.0,66.59,66.59268760007988
171,2024-12-06,788,7,7,110,lost,100.0,63.81,63.807025546477384
172,2024-03-16,700,8,2,45,lost,300.0,205.18,68.39457752203636
173,2024-06-17,2648,5,9,51,lost,120.0,82.04,68.36950101312829
174,2024-11-01,8130,3,4,183,lost,200.0,164.24,82.11846788900496
175,2024-04-08,6297,1,10,56,lost,220.0,132.18,60.08258863661183
176,2024-08-28,3373,4,9,54,lost,120.0,60.38,50.31726133375796
177,2024-07-02,2152,8,6,134,lost,500.0,218.44,43.68786083492014
178,2024-08-03,6549,4,3,75,lost,150.0,83.81,55.87319233220439
179,2024-08-24,4936,9,6,61,lost,500.0,250.19,50.03893054511005
180,2024-03-14,5843,4,4,33,lost,200.0,142.82,71.41060222819347
181,2024-11-23,8938,4,6,49,lost,500.0,240.27,48.053300636313175
182,2024-05-28,3492,6,5,50,lost,50.0,20.71,41.41213042159106
183,2024-12-11,3102,5,8,2,lost,75.0,38.94,51.92199182513452
184,2024-12-13,1379,3,8,2,lost,75.0,41.02,54.695368819714474
185,2024-06-10,7263,7,5,372,won,50.0,18.09,36.18309211625321
186,2024-06-21,8570,3,7,90,lost,100.0,80.5,80.49568249617009
187,2024-07-30,9182,5,8,46,lost,75.0,22.96,30.61413896876749
188,2024-03-16,7276,10,5,34,lost,50.0,32.16,64.32995499881011
189,2024-11-24,2418,1,2,906,lost,300.0,138.33,46.11034265949754
191,2024-07-21,9039,7,5,501,lost,50.0,30.06,60.12815817841906
192,2024-12-19,6271,8,4,383,won,200.0,130.88,65.44091493033136
193,2024-10-08,8990,9,10,121,lost,220.0,119.18,54.17075580494721
194,2024-08-04,9972,3,5,164,lost,50.0,33.29,66.57328742810373
195,2024-10-01,658,6,5,165,lost,50.0,30.19,60.3866375902179
196,2024-01-27,6735,8,2,138,won,300.0,172.42,57.47293657634279
197,2024-02-10,4379,4,6,40,won,500.0,246.05,49.209770472753924
198,2024-02-29,7019,9,10,439,lost,220.0,55.5,25.227234612773277
199,2024-02-27,2440,10,8,213,lost,75.0,29.91,39.88333545171333
200,2024-05-21,5601,10,4,153,won,200.0,131.62,65.8108279211412
201,2024-08-23,6465,5,8,361,lost,75.0,35.61,47.47610060153414
202,2024-09-21,1298,10,6,181,lost,500.0,202.93,40.58618838974598
203,2024-08-01,1301,2,9,14,lost,120.0,90.53,75.44333908921524
204,2024-02-17,7584,2,6,15,lost,500.0,250.6,50.12095967596684
205,2024-06-11,1249,4,6,247,won,500.0,296.14,59.227706391766915
206,2024-12-20,3382,4,5,131,lost,50.0,31.32,62.64265115498904
207,2024-06-22,6759,5,10,71,lost,220.0,97.52,44.32914707207482
208,2024-05-01,4908,2,10,99,lost,220.0,66.59,30.2671478860798
209,2024-03-13,4938,6,5,326,lost,50.0,26.37,52.74695438233061
210,2024-09-23,9980,9,3,8,lost,150.0,96.68,64.45055442501622
211,2024-09-10,7673,3,1,154,lost,250.0,112.35,44.93920174899056
212,2024-11-04,8292,9,1,405,lost,250.0,0.0,0.0
213,2024-07-08,6144,8,5,3,lost,50.0,30.98,61.95977189136157
214,2024-12-12,8602,2,7,183,lost,100.0,60.21,60.20906508835714
215,2024-07-05,4149,6,3,162,lost,150.0,66.54,44.35863451605278
216,2024-10-05,5745,6,7,258,lost,100.0,63.34,63.34168115567284
217,2024-08-20,7336,10,2,502,won,300.0,196.9,65.63450742161479
218,2024-10-04,6673,4,9,14,lost,120.0,88.52,73.76600038851541
219,2024-01-05,3971,1,2,41,lost,300.0,252.71,84.23802730323168
220,2024-09-10,5644,5,10,336,lost,220.0,48.5,22.04436935961389
221,2024-12-22,2534,10,4,136,lost,200.0,135.9,67.94958566257668
222,2024-11-01,1212,6,4,293,lost,200.0,171.23,85.61480327926894
223,2024-06-27,7776,4,6,18,lost,500.0,320.65,64.12969066440589
224,2024-09-27,9514,5,3,32,won,150.0,99.29,66.19419125154795
225,2024-04-23,1913,10,5,105,lost,50.0,23.01,46.01777724177853
226,2024-03-02,57,7,10,41,lost,220.0,110.67,50.303682684563746
227,2024-09-19,8431,9,6,435,lost,500.0,216.08,43.215678389595816
228,2024-10-14,2067,1,1,9,lost,250.0,135.07,54.02721285419045
229,2024-12-05,2629,6,10,44,lost,220.0,113.8,51.72941334990203
232,2024-04-27,1535,7,4,120,lost,200.0,156.05,78.02545702991165
233,2024-09-30,5100,7,1,64,won,250.0,175.62,70.24617604153548
235,2024-12-22,950,5,3,247,lost,150.0,85.56,57.03961433280779
237,2024-12-11,8971,5,6,220,lost,500.0,299.84,59.967046728435996
239,2024-05-27,6131,4,10,57,lost,220.0,99.7,45.32032226082022
240,2024-06-22,5801,1,5,499,won,50.0,33.36,66.72013750559486
241,2024-11-25,5912,3,4,690,lost,200.0,171.61,85.8053330584248
242,2024-08-29,7367,2,1,60,lost,250.0,132.16,52.86380844497496
243,2024-05-20,9818,9,8,116,lost,75.0,17.73,23.639163077041665
244,2024-12-19,3388,1,6,508,lost,500.0,153.96,30.7924241727555
245,2024-10-02,4897,8,9,410,lost,120.0,45.43,37.859784066736154
246,2024-05-10,6196,10,3,407,lost,150.0,32.41,21.604482306706146
247,2024-05-08,9483,2,8,76,won,75.0,19.29,25.717375795587493
248,2024-02-13,1558,8,2,414,lost,300.0,203.86,67.95304638791451
249,2024-05-12,8061,2,5,946,lost,50.0,18.54,37.08922117986072
250,2024-04-27,3447,7,7,66,lost,100.0,51.69,51.68891842821452
251,2024-10-15,8798,7,3,295,lost,150.0,88.41,58.938188555789296
252,2024-09-04,8227,9,1,251,lost,250.0,109.11,43.64390758987309
253,2024-02-11,3717,2,7,17,lost,100.0,71.51,71.50880693509795
254,2024-01-09,662,6,6,88,lost,500.0,312.19,62.438308370866594
255,2024-06-20,9836,3,7,445,lost,100.0,55.09,55.0869437103712
256,2024-05-31,4339,3,8,508,lost,75.0,19.02,25.36274924813656
257,2024-09-20,7972,9,10,52,lost,220.0,97.43,44.286373560925675
258,2024-03-12,7609,7,6,137,won,500.0,263.78,52.75558924721778
259,2024-04-28,2499,4,7,23,lost,100.0,64.91,64.9088814214358
260,2024-02-15,6776,3,4,9,won,200.0,119.64,59.817962078700816
261,2024-07-08,2780,10,9,27,lost,120.0,72.27,60.22431374949794
262,2024-12-12,4332,3,6,130,lost,500.0,317.96,63.59272262407088
263,2024-12-27,870,8,2,162,lost,300.0,199.07,66.35674654890312
264,2024-05-15,740,9,6,54,won,500.0,272.41,54.48286376656745
265,2024-11-07,8869,1,6,21,lost,500.0,362.8,72.55907028123934
266,2024-09-02,4882,1,2,195,lost,300.0,196.47,65.49079740477072
267,2024-12-07,8357,9,4,47,lost,200.0,166.91,83.45445331847766
268,2024-11-12,8425,10,6,3,won,500.0,333.08,66.61517392959934
269,2024-10-21,1043,8,4,256,lost,200.0,157.25,78.62490620758027
270,2024-11-10,9998,6,9,17,lost,120.0,47.39,39.49050354068409
271,2024-12-15,3116,3,4,55,won,200.0,181.59,90.7964992128963
272,2024-11-03,8654,4,5,402,lost,50.0,31.91,63.81134654422878
273,2024-02-03,7855,4,6,291,lost,500.0,183.67,36.73303043242427
274,2024-10-28,6160,6,10,229,lost,220.0,46.24,21.020142306425694
275,2024-03-16,1257,8,6,129,lost,500.0,211.9,42.379341728603144
277,2024-10-24,356,10,2,173,lost,300.0,189.52,63.17344361433951
278,2024-10-14,5910,3,3,216,lost,150.0,65.44,43.62626754836002
279,2024-01-29,1403,6,9,81,won,120.0,64.35,53.62872303208411
280,2024-02-17,6668,10,7,196,lost,100.0,78.1,78.09808497188212
281,2024-04-12,584,6,3,121,won,150.0,98.01,65.33849109357173
282,2024-11-19,1095,3,8,56,lost,75.0,36.12,48.16278066093451
283,2024-11-14,8039,3,4,737,lost,200.0,111.7,55.84773007878674
284,2024-01-28,6386,5,9,400,lost,120.0,61.83,51.526071397268566
285,2024-05-23,7184,2,2,243,lost,300.0,169.61,56.536489111213236
287,2024-02-05,8170,8,3,416,lost,150.0,73.67,49.1106105236963
288,2024-10-03,5860,3,3,60,lost,150.0,105.4,70.26795505323214
289,2024-02-16,5896,4,1,299,lost,250.0,103.31,41.3245486468918
290,2024-07-02,4041,7,8,11,won,75.0,29.12,38.83190020353732
291,2024-09-08,9712,3,10,536,lost,220.0,31.35,14.250891979045402
292,2024-08-18,3291,1,3,13,lost,150.0,83.06,55.37357653090162
293,2024-11-17,6461,3,4,938,lost,200.0,190.92,95.45893774121143
294,2024-02-13,4257,8,6,62,lost,500.0,299.6,59.919043918284025
295,2024-03-20,2590,9,3,156,won,150.0,82.86,55.24316423577827
296,2024-01-24,5328,4,9,32,lost,120.0,59.86,49.88685372254709
297,2024-08-17,1848,6,6,180,lost,500.0,314.92,62.98401550156937
298,2024-04-07,6166,2,5,267,lost,50.0,21.36,42.71538219872244
299,2024-08-04,3540,9,2,86,lost,300.0,234.23,78.07781544430937
300,2024-06-21,8911,6,1,248,lost,250.0,92.04,36.815046260496324
301,2024-04-15,8473,6,1,468,lost,250.0,93.94,37.5745343218373
302,2024-01-04,1322,1,5,19,won,50.0,30.79,61.57278091569218
303,2024-04-04,7584,9,10,624,lost,220.0,65.8,29.908475286634012
304,2024-12-25,3309,1,9,135,lost,120.0,51.72,43.1027034278834
305,2024-03-10,1225,7,5,381,lost,50.0,26.78,53.56877333956112
306,2024-03-27,3653,1,6,112,lost,500.0,403.25,80.64979469550175
307,2024-02-21,8330,4,4,236,lost,200.0,166.98,83.49191331686394
308,2024-04-17,7734,5,5,549,lost,50.0,26.43,52.85126209197357
309,2024-09-29,4176,10,2,51,lost,300.0,219.37,73.12354719912031
310,2024-09-14,3488,10,8,63,lost,75.0,26.7,35.6066414788275
311,2024-12-02,1661,7,7,90,lost,100.0,54.66,54.66246619495959
312,2024-06-05,5634,7,5,35,lost,50.0,33.4,66.80198375582226
313,2024-10-28,437,6,8,16,lost,75.0,43.32,57.763489447110615
314,2024-12-19,9815,7,7,46,lost,100.0,65.86,65.85504886845833
315,2024-02-28,372,10,2,26,lost,300.0,199.12,66.372655784339
316,2024-01-14,4646,10,2,135,lost,300.0,214.97,71.65548157975797
317,2024-07-06,8820,10,1,32,lost,250.0,144.65,57.86021360155286
318,2024-01-01,7794,7,2,481,won,300.0,206.05,68.68491646054238
319,2024-01-21,7241,1,2,144,won,300.0,159.41,53.13797243224579
320,2024-06-14,4116,1,4,917,lost,200.0,107.69,53.84630476078621
321,2024-05-21,6836,1,8,173,lost,75.0,39.38,52.5131097700562
322,2024-11-25,7762,4,10,123,lost,220.0,132.21,60.093760154390395
323,2024-06-03,1394,2,6,68,lost,500.0,279.44,55.88820569023168
324,2024-03-04,8646,8,1,84,lost,250.0,105.4,42.161397405409
325,2024-03-19,6970,9,7,202,won,100.0,44.51,44.50590014192368
326,2024-08-11,598,1,8,176,won,75.0,25.7,34.272580142095094
327,2024-07-31,5237,3,6,531,lost,500.0,185.12,37.023461169502724
328,2024-12-22,8823,7,6,57,lost,500.0,309.23,61.845425846248446
329,2024-12-05,8811,10,8,312,won,75.0,38.4,51.20469507199178
330,2024-12-19,402,1,1,326,lost,250.0,95.16,38.06231436439937
331,2024-05-07,6161,9,2,179,lost,300.0,174.61,58.20220263356746
332,2024-05-06,9983,8,6,111,lost,500.0,317.96,63.59299997000058
333,2024-10-07,1531,10,7,108,lost,100.0,73.92,73.922839891994
334,2024-01-15,480,6,2,16,lost,300.0,233.41,77.8037915794605
335,2024-04-16,6242,1,1,119,won,250.0,137.28,54.910173160955466
336,2024-07-23,958,5,9,251,won,120.0,46.54,38.77925818592879
337,2024-01-05,9706,9,1,400,won,250.0,91.23,36.49260704806045
338,2024-08-12,4848,1,10,830,lost,220.0,50.45,22.93374611021877
339,2024-12-11,9369,4,1,7,lost,250.0,152.27,60.90813723940721
340,2024-04-28,7311,4,10,19,lost,220.0,113.58,51.62595086668397
341,2024-03-05,5250,8,2,105,lost,300.0,239.15,79.71733316057701
342,2024-06-19,2038,5,9,47,lost,120.0,51.07,42.555663191657565
343,2024-07-15,216,4,2,214,won,300.0,185.44,61.81434973553456
344,2024-09-11,4494,8,7,751,lost,100.0,57.43,57.430693121889156
345,2024-10-24,3457,10,7,77,lost,100.0,65.99,65.98694883583657
346,2024-04-27,832,9,9,104,lost,120.0,74.53,62.10458540067554
347,2024-07-02,3099,10,10,179,lost,220.0,76.28,34.67146340663938
348,2024-02-26,4821,1,10,17,lost,220.0,137.14,62.337538382056124
350,2024-06-12,8222,3,9,87,lost,120.0,74.96,62.46683236777062
351,2024-03-13,7526,7,7,197,lost,100.0,72.11,72.1128681980414
352,2024-03-10,40,9,6,106,lost,500.0,352.91,70.58241295978803
353,2024-03-24,7400,4,4,126,lost,200.0,140.06,70.03060743786229
354,2024-04-03,5882,5,6,270,lost,500.0,281.73,56.34628482660803
355,2024-06-10,4593,9,5,194,won,50.0,30.82,61.636910236060714
356,2024-08-15,870,4,4,124,lost,200.0,164.3,82.14957500894994
357,2024-09-25,8672,3,7,764,lost,100.0,64.48,64.4804772994715
358,2024-02-23,9455,10,3,11,lost,150.0,77.89,51.926018722459474
359,2024-01-14,5233,1,8,56,lost,75.0,24.0,32.00635322857241
360,2024-04-06,9598,9,8,2,lost,75.0,55.33,73.77662832334144
361,2024-08-22,9453,6,9,65,lost,120.0,72.36,60.30182973018444
362,2024-09-22,946,1,9,572,lost,120.0,33.41,27.83755794322127
363,2024-08-31,3235,2,2,628,lost,300.0,145.25,48.41717063900765
364,2024-05-04,9718,2,1,302,lost,250.0,106.43,42.57075900643608
365,2024-11-02,8228,2,7,178,lost,100.0,49.32,49.32258233018885
366,2024-01-15,4384,5,4,130,lost,200.0,143.93,71.96395565884971
367,2024-12-07,31,6,2,6,won,300.0,255.69,85.23022256240897
368,2024-07-29,422,2,6,472,won,500.0,329.17,65.8339249568511
369,2024-02-26,4769,3,8,50,lost,75.0,48.27,64.35406570768038
370,2024-06-19,4412,4,7,47,won,100.0,71.41,71.40622528801742
371,2024-04-13,4228,8,9,51,lost,120.0,42.4,35.33501171549334
372,2024-08-25,9966,4,9,762,lost,120.0,42.87,35.72095329273567
373,2024-02-17,4950,2,3,245,lost,150.0,55.99,37.32432063738049
375,2024-06-30,2984,4,7,1,lost,100.0,90.02,90.01925184062146
376,2024-03-30,3523,8,9,3,lost,120.0,88.92,74.09922869012925
378,2024-03-17,3396,1,3,996,lost,150.0,55.32,36.87953014653631
379,2024-01-14,4731,10,6,179,won,500.0,149.9,29.979220799065644
380,2024-07-12,8522,3,1,199,won,250.0,123.15,49.2616082563259
381,2024-05-01,5,10,10,70,lost,220.0,112.0,50.908933120096535
382,2024-10-31,1964,8,3,123,lost,150.0,66.92,44.61503253328756
383,2024-06-16,8192,9,5,34,lost,50.0,29.87,59.74740253166111
384,2024-02-29,8525,5,10,6,lost,220.0,119.75,54.43387038994472
385,2024-06-14,90,5,4,156,lost,200.0,157.41,78.70673443183085
386,2024-11-12,4455,7,9,54,lost,120.0,61.51,51.260488366935704
387,2024-08-06,6009,7,1,41,lost,250.0,188.63,75.45257917201165
388,2024-01-01,1482,6,4,184,lost,200.0,134.47,67.23356245665386
389,2024-01-31,9311,1,4,54,lost,200.0,143.11,71.5530684394572
390,2024-01-26,3388,1,1,88,lost,250.0,128.6,51.43936804237484
391,2024-08-05,8886,4,4,72,won,200.0,146.86,73.42841572215458
392,2024-12-12,978,4,7,70,lost,100.0,79.64,79.6382287053525
